DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
2020-10-21,654,50,5
2020-10-22,754,47,3
2020-10-23,600,60,4
2020-10-24,385,52,1
2020-10-25,364,44,9
2020-10-26,689,58,4
2020-10-27,736,47,8
2020-10-28,776,44,4
2020-10-29,616,48,4
2020-10-30,646,54,11
2020-10-31,404,47,4
2020-11-01,498,45,13
2020-11-02,954,59,12
2020-11-03,889,75,12
2020-11-04,1096,56,8
2020-11-05,1131,78,9
2020-11-06,1023,50,10
2020-11-07,831,58,14
2020-11-08,784,56,7
2020-11-09,1535,79,4
2020-11-10,1563,72,7
2020-11-11,1490,85,9
2020-11-12,1475,70,16
2020-11-13,1480,79,5
2020-11-14,1007,88,10
2020-11-15,879,87,14
2020-11-16,1793,112,9
2020-11-17,1696,89,10
2020-11-18,1691,104,9
2020-11-19,1809,109,9
2020-11-20,1744,121,7
2020-11-21,1249,103,10
2020-11-22,1127,105,10
2020-11-23,2230,134,12
2020-11-24,1980,116,17
2020-11-25,2250,109,12
2020-11-26,736,138,7
2020-11-27,2162,137,12
2020-11-28,1712,115,11
2020-11-29,1622,133,11
2020-11-30,2580,152,17
2020-12-01,2665,157,17
2020-12-02,2087,125,22
2020-12-03,1126,77,9
